RecordID,Date,Year,Month,Region,PropertyType,AveragePrice_GBP,SalesVolume,MedianPrice_GBP,PricePerSqM_GBP
1,2015-01,2015,1,London,Detached,752755.0,929,670645.0,9356.0
2,2015-01,2015,1,London,Semi-Detached,482220.0,1450,425048.0,4426.0
3,2015-01,2015,1,London,Terraced,405345.0,706,361863.0,4978.0
4,2015-01,2015,1,London,Flat,356465.0,848,324467.0,4184.0
5,2015-02,2015,2,London,Detached,728938.0,862,656372.0,8300.0
6,2015-02,2015,2,London,Semi-Detached,472785.0,981,422659.0,5084.0
7,2015-02,2015,2,London,Terraced,390011.0,822,359796.0,4817.0
8,2015-02,2015,2,London,Flat,343835.0,741,319043.0,3803.0
9,2015-03,2015,3,London,Detached,752129.0,964,678284.0,8070.0
10,2015-03,2015,3,London,Semi-Detached,468912.0,694,444468.0,4591.0
11,2015-03,2015,3,London,Terraced,407209.0,947,360866.0,4974.0
12,2015-03,2015,3,London,Flat,359165.0,776,325837.0,4251.0
13,2015-04,2015,4,London,Detached,764379.0,1011,687686.0,8132.0
14,2015-04,2015,4,London,Semi-Detached,483400.0,939,427914.0,4413.0
15,2015-04,2015,4,London,Terraced,404750.0,922,356336.0,3909.0
16,2015-04,2015,4,London,Flat,366375.0,986,342191.0,4722.0
17,2015-05,2015,5,London,Detached,767821.0,866,693468.0,9943.0
18,2015-05,2015,5,London,Semi-Detached,489180.0,752,455462.0,5027.0
19,2015-05,2015,5,London,Terraced,402453.0,785,357528.0,4026.0
20,2015-05,2015,5,London,Flat,367037.0,872,342800.0,3977.0
21,2015-06,2015,6,London,Detached,764794.0,964,674380.0,9708.0
22,2015-06,2015,6,London,Semi-Detached,498198.0,962,449377.0,5369.0
23,2015-06,2015,6,London,Terraced,421522.0,871,383049.0,4155.0
24,2015-06,2015,6,London,Flat,368636.0,699,348390.0,3569.0
25,2015-07,2015,7,London,Detached,795198.0,694,749457.0,8471.0
26,2015-07,2015,7,London,Semi-Detached,498367.0,857,446515.0,5541.0
27,2015-07,2015,7,London,Terraced,418310.0,859,368316.0,4504.0
28,2015-07,2015,7,London,Flat,372372.0,516,330812.0,4289.0
29,2015-08,2015,8,London,Detached,775643.0,880,710733.0,7787.0
30,2015-08,2015,8,London,Semi-Detached,487830.0,1020,462156.0,5820.0
31,2015-08,2015,8,London,Terraced,401171.0,794,361029.0,5258.0
32,2015-08,2015,8,London,Flat,364794.0,1292,322333.0,4304.0
33,2015-09,2015,9,London,Detached,779458.0,793,739703.0,9338.0
34,2015-09,2015,9,London,Semi-Detached,476466.0,1337,427216.0,4742.0
35,2015-09,2015,9,London,Terraced,416872.0,1080,385335.0,4447.0
36,2015-09,2015,9,London,Flat,356078.0,601,314365.0,3721.0
37,2015-10,2015,10,London,Detached,751195.0,813,694977.0,9262.0
38,2015-10,2015,10,London,Semi-Detached,474048.0,1442,448246.0,5939.0
39,2015-10,2015,10,London,Terraced,403776.0,735,381458.0,3820.0
40,2015-10,2015,10,London,Flat,364907.0,553,341993.0,3864.0
41,2015-11,2015,11,London,Detached,760082.0,851,686911.0,8714.0
42,2015-11,2015,11,London,Semi-Detached,479295.0,1175,451542.0,4685.0
43,2015-11,2015,11,London,Terraced,404472.0,663,360512.0,3800.0
44,2015-11,2015,11,London,Flat,356542.0,858,313884.0,4422.0
45,2015-12,2015,12,London,Detached,787822.0,894,729238.0,9509.0
46,2015-12,2015,12,London,Semi-Detached,471981.0,1244,426094.0,4667.0
